Ngày hạch toán,Mã KH,Mã Sản Phẩm,Doanh thu,Giá vốn hàng hóa
1/1/2024,KH-0052,P-396,12150000,8100000
1/1/2024,KH-0257,P-545,58275000,38850000
1/1/2024,KH-0727,P-072,1155000,770000
1/1/2024,KH-0716,P-530,86940000,57960000
1/1/2024,KH-0210,P-204,210600000,140400000
1/1/2024,KH-0542,P-435,131220000,87480000
1/1/2024,KH-0072,P-734,81900000,54600000
1/1/2024,KH-0288,P-147,1048620000,699080000
1/1/2024,KH-0158,P-220,1287000000,858000000
1/1/2024,KH-0385,P-703,4080000,2720000
1/1/2024,KH-0286,P-061,2040000,1360000
1/1/2024,KH-0282,P-114,10650000,7100000
1/1/2024,KH-0147,P-127,70455000,46970000
1/1/2024,KH-0014,P-506,300000,200000
1/1/2024,KH-0649,P-574,2160000,1440000
1/1/2024,KH-0058,P-404,720000,480000
1/1/2024,KH-0601,P-070,24600000,16400000
1/1/2024,KH-0595,P-015,10935000,7290000
1/1/2024,KH-0786,P-766,810000,540000
1/1/2024,KH-0018,P-224,8010000,5340000
1/1/2024,KH-0422,P-626,6450000,4300000
1/1/2024,KH-0222,P-523,5175000,3450000
1/1/2024,KH-0036,P-708,1200000,800000
1/1/2024,KH-0428,P-489,795555000,530370000
1/1/2024,KH-0688,P-589,8100000,5400000
1/1/2024,KH-0583,P-321,54405000,36270000
1/1/2024,KH-0575,P-351,3240000,2160000
1/2/2024,KH-0280,P-199,3570000,2380000
1/2/2024,KH-0314,P-747,5715000,3810000
1/2/2024,KH-0463,P-570,495000,330000
1/2/2024,KH-0100,P-567,1111080000,740720000
1/2/2024,KH-0410,P-233,610740000,407160000
1/2/2024,KH-0093,P-182,25830000,17220000
1/2/2024,KH-0626,P-359,6300000,4200000
1/2/2024,KH-0224,P-153,2404050000,1602700000
1/2/2024,KH-0196,P-415,137700000,91800000
1/2/2024,KH-0365,P-032,42900000,28600000
1/2/2024,KH-0323,P-416,1800000,1200000
1/2/2024,KH-0069,P-399,5550000,3700000
1/2/2024,KH-0339,P-500,1470000,980000
1/2/2024,KH-0578,P-637,315000,210000
1/2/2024,KH-0059,P-083,38160000,25440000
1/2/2024,KH-0217,P-384,17550000,11700000
1/2/2024,KH-0056,P-294,675000,450000
1/2/2024,KH-0297,P-246,24360000,16240000
1/2/2024,KH-0410,P-115,209970000,139980000
1/2/2024,KH-0254,P-552,398475000,265650000
1/2/2024,KH-0427,P-241,715200000,476800000
1/2/2024,KH-0321,P-055,18090000,12060000
1/2/2024,KH-0503,P-720,37935000,25290000
1/2/2024,KH-0659,P-319,11430000,7620000
1/2/2024,KH-0537,P-713,1200000,800000
1/2/2024,KH-0029,P-348,589950000,393300000
1/2/2024,KH-0175,P-724,1350000,900000
1/3/2024,KH-0417,P-775,1800000,1200000
1/3/2024,KH-0258,P-754,1740000,1160000
1/3/2024,KH-0365,P-432,174150000,116100000
1/3/2024,KH-0399,P-305,4080000,2720000
1/3/2024,KH-0026,P-404,480000,320000
1/3/2024,KH-0114,P-068,15480000,10320000
1/3/2024,KH-0724,P-472,190320000,126880000
1/3/2024,KH-0725,P-252,480000,320000
1/3/2024,KH-0030,P-648,8910000,5940000
1/3/2024,KH-0481,P-260,6000000,4000000
1/3/2024,KH-0550,P-340,1785000,1190000
1/3/2024,KH-0244,P-386,55440000,36960000
1/3/2024,KH-0601,P-306,57420000,38280000
1/3/2024,KH-0491,P-040,145215000,96810000
1/3/2024,KH-0157,P-724,5400000,3600000
1/3/2024,KH-0039,P-135,1575000,1050000
1/3/2024,KH-0452,P-301,90450000,60300000
1/3/2024,KH-0094,P-372,242880000,161920000
1/3/2024,KH-0010,P-324,81060000,54040000
1/3/2024,KH-0608,P-347,354780000,236520000
1/3/2024,KH-0042,P-428,91770000,61180000
1/3/2024,KH-0160,P-779,2625000,1750000
1/3/2024,KH-0276,P-063,46080000,30720000
1/3/2024,KH-0295,P-244,45390000,30260000
1/3/2024,KH-0554,P-489,618765000,412510000
1/3/2024,KH-0681,P-334,36045000,24030000
1/3/2024,KH-0593,P-248,2115000,1410000
1/3/2024,KH-0566,P-088,24300000,16200000
1/3/2024,KH-0285,P-790,5940000,3960000
1/3/2024,KH-0329,P-001,161550000,107700000
1/3/2024,KH-0376,P-621,1380000,920000
1/3/2024,KH-0661,P-312,15150000,10100000
1/4/2024,KH-0770,P-293,315000,210000
1/4/2024,KH-0600,P-462,4500000,3000000
1/4/2024,KH-0593,P-018,2940000,1960000
1/4/2024,KH-0500,P-195,43620000,29080000
1/4/2024,KH-0420,P-239,128175000,85450000
1/4/2024,KH-0061,P-541,148260000,98840000
1/4/2024,KH-0494,P-546,2400000,1600000
1/4/2024,KH-0511,P-639,45000000,30000000
1/4/2024,KH-0409,P-602,82215000,54810000
1/4/2024,KH-0282,P-542,1920000,1280000
1/4/2024,KH-0055,P-623,248700000,165800000
1/4/2024,KH-0015,P-765,1035000,690000
1/4/2024,KH-0564,P-511,840000,560000
