Ngày hạch toán,Tháng,Đơn hàng,Mã KH,Mã Sản Phẩm,Số lượng bán,Đơn giá,Doanh thu,Giá vốn hàng hóa,Mã nhân viên bán,Chi nhánh,,Chi nhánh,
1/1/2024,1,ĐH8949809,KH-0542,P-435,9,14580000,131220000,87480000,NV161,CN HCM,,CN HCM,
1/1/2024,1,ĐH8531377,KH-0072,P-734,6,13650000,81900000,54600000,NV242,CN HCM,,,
1/1/2024,1,ĐH4667898,KH-0601,P-070,5,4920000,24600000,16400000,NV003,CN HCM,,,
1/1/2024,1,ĐH4361071,KH-0428,P-489,9,88395000,795555000,530370000,NV143,CN HCM,,Tháng ,Doanh thu
1/1/2024,1,ĐH8663661,KH-0688,P-589,6,1350000,8100000,5400000,NV180,CN HCM,,1,  23.783.910.000 
1/1/2024,1,ĐH9273137,KH-0583,P-321,9,6045000,54405000,36270000,NV170,CN HCM,,2,  24.442.440.000 
1/2/2024,1,ĐH1828559,KH-0280,P-199,7,510000,3570000,2380000,NV231,CN HCM,,3,  30.463.800.000 
1/2/2024,1,ĐH3668164,KH-0196,P-415,9,15300000,137700000,91800000,NV011,CN HCM,,4,  25.673.235.000 
1/2/2024,1,ĐH5568418,KH-0339,P-500,1,1470000,1470000,980000,NV001,CN HCM,,5,  28.486.635.000 
1/2/2024,1,ĐH5761182,KH-0578,P-637,3,105000,315000,210000,NV208,CN HCM,,6,  39.723.420.000 
1/2/2024,1,ĐH9890397,KH-0217,P-384,10,1755000,17550000,11700000,NV082,CN HCM,,7,  23.612.535.000 
1/2/2024,1,ĐH1435475,KH-0427,P-241,4,178800000,715200000,476800000,NV039,CN HCM,,8,  32.815.845.000 
1/2/2024,1,ĐH2845472,KH-0321,P-055,9,2010000,18090000,12060000,NV024,CN HCM,,9,  34.744.665.000 
1/2/2024,1,ĐH9214554,KH-0659,P-319,3,3810000,11430000,7620000,NV038,CN HCM,,10,  27.385.425.000 
1/2/2024,1,ĐH3325045,KH-0537,P-713,5,240000,1200000,800000,NV041,CN HCM,,11,  40.395.480.000 
1/2/2024,1,ĐH6009531,KH-0029,P-348,10,58995000,589950000,393300000,NV123,CN HCM,,12,  20.222.430.000 
1/3/2024,1,ĐH4688853,KH-0417,P-775,8,225000,1800000,1200000,NV141,CN HCM,,,
1/3/2024,1,ĐH3629604,KH-0026,P-404,4,120000,480000,320000,NV222,CN HCM,,,
1/3/2024,1,ĐH7835908,KH-0114,P-068,8,1935000,15480000,10320000,NV163,CN HCM,,,
1/3/2024,1,ĐH4495086,KH-0244,P-386,3,18480000,55440000,36960000,NV130,CN HCM,,,
1/3/2024,1,ĐH8872576,KH-0039,P-135,3,525000,1575000,1050000,NV072,CN HCM,,,
1/3/2024,1,ĐH2920140,KH-0094,P-372,4,60720000,242880000,161920000,NV214,CN HCM,,,
1/3/2024,1,ĐH5088921,KH-0160,P-779,5,525000,2625000,1750000,NV058,CN HCM,,,
1/3/2024,1,ĐH3780464,KH-0295,P-244,1,45390000,45390000,30260000,NV118,CN HCM,,,
1/3/2024,1,ĐH9016765,KH-0566,P-088,10,2430000,24300000,16200000,NV176,CN HCM,,,
1/3/2024,1,ĐH5499409,KH-0329,P-001,6,26925000,161550000,107700000,NV009,CN HCM,,,
1/4/2024,1,ĐH5376987,KH-0420,P-239,5,25635000,128175000,85450000,NV233,CN HCM,,,
1/4/2024,1,ĐH1659993,KH-0061,P-541,7,21180000,148260000,98840000,NV193,CN HCM,,,
1/4/2024,1,ĐH7577819,KH-0511,P-639,8,5625000,45000000,30000000,NV084,CN HCM,,,
1/4/2024,1,ĐH4492011,KH-0409,P-602,9,9135000,82215000,54810000,NV134,CN HCM,,,
1/4/2024,1,ĐH2696581,KH-0282,P-542,8,240000,1920000,1280000,NV144,CN HCM,,,
1/4/2024,1,ĐH8429977,KH-0055,P-623,10,24870000,248700000,165800000,NV008,CN HCM,,,
