Ngày hạch toán,Tháng,Đơn hàng,Mã KH,Mã Sản Phẩm,Số lượng bán,Đơn giá,Doanh thu,Giá vốn hàng hóa,Mã nhân viên bán,Chi nhánh,Chi nhánh,,,
1/1/2024,"1,00",ĐH8038262,KH-0257,P-545,5,11655000,58275000,38850000,NV164,CN DN,CN DN,,Tháng,Doanh thu
1/1/2024,"1,00",ĐH9049637,KH-0727,P-072,7,165000,1155000,770000,NV192,CN DN,,,1,  25.721.265.000 
1/1/2024,"1,00",ĐH8875469,KH-0210,P-204,5,42120000,210600000,140400000,NV089,CN DN,,,2,  23.726.940.000 
1/1/2024,"1,00",ĐH2856395,KH-0288,P-147,2,524310000,1048620000,699080000,NV004,CN DN,,,3,  29.252.895.000 
1/1/2024,"1,00",ĐH8009184,KH-0282,P-114,5,2130000,10650000,7100000,NV089,CN DN,,,4,  29.184.300.000 
1/1/2024,"1,00",ĐH6600134,KH-0014,P-506,1,300000,300000,200000,NV235,CN DN,,,5,  45.115.245.000 
1/1/2024,"1,00",ĐH2634650,KH-0058,P-404,6,120000,720000,480000,NV008,CN DN,,,6,  20.843.745.000 
1/1/2024,"1,00",ĐH8264572,KH-0786,P-766,1,810000,810000,540000,NV041,CN DN,,,7,  33.327.015.000 
1/1/2024,"1,00",ĐH6107309,KH-0018,P-224,6,1335000,8010000,5340000,NV217,CN DN,,,8,  31.264.980.000 
1/1/2024,"1,00",ĐH3269154,KH-0036,P-708,8,150000,1200000,800000,NV205,CN DN,,,9,  25.802.535.000 
1/2/2024,"1,00",ĐH6393369,KH-0100,P-567,4,277770000,1111080000,740720000,NV166,CN DN,,,10,  32.915.760.000 
1/2/2024,"1,00",ĐH7126447,KH-0093,P-182,6,4305000,25830000,17220000,NV125,CN DN,,,11,  20.200.365.000 
1/2/2024,"1,00",ĐH2505428,KH-0365,P-032,5,8580000,42900000,28600000,NV090,CN DN,,,12,  23.724.210.000 
1/2/2024,"1,00",ĐH4564523,KH-0323,P-416,10,180000,1800000,1200000,NV094,CN DN,,,,
1/2/2024,"1,00",ĐH6050467,KH-0254,P-552,7,56925000,398475000,265650000,NV073,CN DN,,,,
1/3/2024,"1,00",ĐH5644725,KH-0258,P-754,4,435000,1740000,1160000,NV228,CN DN,,,,
1/3/2024,"1,00",ĐH7408079,KH-0725,P-252,2,240000,480000,320000,NV114,CN DN,,,,
1/3/2024,"1,00",ĐH8977953,KH-0030,P-648,9,990000,8910000,5940000,NV018,CN DN,,,,
1/3/2024,"1,00",ĐH4485598,KH-0550,P-340,7,255000,1785000,1190000,NV247,CN DN,,,,
1/3/2024,"1,00",ĐH3637943,KH-0601,P-306,2,28710000,57420000,38280000,NV114,CN DN,,,,
1/3/2024,"1,00",ĐH6523133,KH-0491,P-040,7,20745000,145215000,96810000,NV046,CN DN,,,,
1/3/2024,"1,00",ĐH1539758,KH-0157,P-724,8,675000,5400000,3600000,NV058,CN DN,,,,
1/3/2024,"1,00",ĐH8736484,KH-0452,P-301,5,18090000,90450000,60300000,NV110,CN DN,,,,
1/3/2024,"1,00",ĐH9811891,KH-0608,P-347,9,39420000,354780000,236520000,NV248,CN DN,,,,
1/3/2024,"1,00",ĐH6321654,KH-0681,P-334,9,4005000,36045000,24030000,NV195,CN DN,,,,
1/3/2024,"1,00",ĐH2490023,KH-0593,P-248,3,705000,2115000,1410000,NV207,CN DN,,,,
1/3/2024,"1,00",ĐH2475718,KH-0661,P-312,5,3030000,15150000,10100000,NV137,CN DN,,,,
1/4/2024,"1,00",ĐH1725493,KH-0770,P-293,3,105000,315000,210000,NV209,CN DN,,,,
1/4/2024,"1,00",ĐH3022048,KH-0600,P-462,1,4500000,4500000,3000000,NV173,CN DN,,,,
1/4/2024,"1,00",ĐH3638556,KH-0015,P-765,3,345000,1035000,690000,NV112,CN DN,,,,
1/4/2024,"1,00",ĐH5595981,KH-0564,P-511,7,120000,840000,560000,NV020,CN DN,,,,
1/4/2024,"1,00",ĐH7548464,KH-0656,P-245,3,54495000,163485000,108990000,NV022,CN DN,,,,
1/4/2024,"1,00",ĐH6922803,KH-0330,P-362,8,4935000,39480000,26320000,NV025,CN DN,,,,
1/4/2024,"1,00",ĐH3055283,KH-0148,P-733,10,435000,4350000,2900000,NV097,CN DN,,,,
1/4/2024,"1,00",ĐH1236610,KH-0523,P-665,6,3495000,20970000,13980000,NV006,CN DN,,,,
1/4/2024,"1,00",ĐH3479402,KH-0587,P-303,3,77040000,231120000,154080000,NV069,CN DN,,,,
1/4/2024,"1,00",ĐH7218483,KH-0522,P-177,5,80775000,403875000,269250000,NV223,CN DN,,,,
1/5/2024,"1,00",ĐH7549855,KH-0395,P-581,1,34605000,34605000,23070000,NV100,CN DN,,,,
1/5/2024,"1,00",ĐH2313366,KH-0287,P-452,6,25875000,155250000,103500000,NV185,CN DN,,,,
1/5/2024,"1,00",ĐH1222567,KH-0551,P-166,9,14535000,130815000,87210000,NV155,CN DN,,,,
1/5/2024,"1,00",ĐH9318497,KH-0590,P-489,9,88395000,795555000,530370000,NV127,CN DN,,,,
1/5/2024,"1,00",ĐH5039146,KH-0045,P-483,5,2145000,10725000,7150000,NV129,CN DN,,,,
1/5/2024,"1,00",ĐH8467818,KH-0660,P-728,7,3000000,21000000,14000000,NV020,CN DN,,,,
1/5/2024,"1,00",ĐH6479273,KH-0274,P-785,9,720000,6480000,4320000,NV200,CN DN,,,,
1/6/2024,"1,00",ĐH6950313,KH-0264,P-457,6,285000,1710000,1140000,NV115,CN DN,,,,
1/6/2024,"1,00",ĐH7747994,KH-0242,P-675,9,195000,1755000,1170000,NV012,CN DN,,,,
1/6/2024,"1,00",ĐH8691518,KH-0505,P-251,6,29910000,179460000,119640000,NV033,CN DN,,,,
1/6/2024,"1,00",ĐH9356169,KH-0165,P-585,5,720000,3600000,2400000,NV204,CN DN,,,,
1/6/2024,"1,00",ĐH6058072,KH-0690,P-612,5,7410000,37050000,24700000,NV008,CN DN,,,,
1/6/2024,"1,00",ĐH4549625,KH-0005,P-102,3,2820000,8460000,5640000,NV005,CN DN,,,,
1/6/2024,"1,00",ĐH6367602,KH-0096,P-469,4,1905000,7620000,5080000,NV191,CN DN,,,,
1/6/2024,"1,00",ĐH9902191,KH-0219,P-555,6,990000,5940000,3960000,NV158,CN DN,,,,
1/6/2024,"1,00",ĐH1510895,KH-0633,P-321,10,6045000,60450000,40300000,NV165,CN DN,,,,
1/6/2024,"1,00",ĐH9182963,KH-0185,P-461,1,3675000,3675000,2450000,NV189,CN DN,,,,
1/6/2024,"1,00",ĐH5471140,KH-0292,P-317,8,1665000,13320000,8880000,NV140,CN DN,,,,
1/6/2024,"1,00",ĐH5662062,KH-0640,P-752,2,2700000,5400000,3600000,NV028,CN DN,,,,
1/6/2024,"1,00",ĐH5530335,KH-0172,P-213,9,19995000,179955000,119970000,NV129,CN DN,,,,
1/7/2024,"1,00",ĐH2220105,KH-0727,P-407,4,16005000,64020000,42680000,NV170,CN DN,,,,
1/7/2024,"1,00",ĐH6475255,KH-0050,P-791,3,540000,1620000,1080000,NV156,CN DN,,,,
1/7/2024,"1,00",ĐH8815896,KH-0040,P-305,3,2040000,6120000,4080000,NV226,CN DN,,,,
1/7/2024,"1,00",ĐH4675391,KH-0210,P-552,3,56925000,170775000,113850000,NV156,CN DN,,,,
1/7/2024,"1,00",ĐH7296216,KH-0030,P-155,6,199425000,1196550000,797700000,NV056,CN DN,,,,
1/7/2024,"1,00",ĐH5471208,KH-0770,P-561,4,8460000,33840000,22560000,NV021,CN DN,,,,
1/7/2024,"1,00",ĐH8487635,KH-0327,P-422,7,1905000,13335000,8890000,NV207,CN DN,,,,
1/7/2024,"1,00",ĐH2501699,KH-0413,P-170,8,4920000,39360000,26240000,NV141,CN DN,,,,
1/7/2024,"1,00",ĐH2365555,KH-0351,P-645,3,5625000,16875000,11250000,NV111,CN DN,,,,
1/7/2024,"1,00",ĐH4646785,KH-0753,P-116,2,18735000,37470000,24980000,NV111,CN DN,,,,
1/7/2024,"1,00",ĐH3285988,KH-0168,P-698,7,99450000,696150000,464100000,NV226,CN DN,,,,
1/7/2024,"1,00",ĐH4705854,KH-0245,P-747,3,1905000,5715000,3810000,NV038,CN DN,,,,
1/7/2024,"1,00",ĐH8235160,KH-0651,P-751,3,30000,90000,60000,NV187,CN DN,,,,
1/7/2024,"1,00",ĐH3665380,KH-0738,P-417,1,62565000,62565000,41710000,NV144,CN DN,,,,
1/7/2024,"1,00",ĐH8523123,KH-0064,P-763,9,1425000,12825000,8550000,NV131,CN DN,,,,
