Ngày hạch toán,Đơn hàng,Mã KH,Mã Sản Phẩm,Số lượng bán,Đơn giá,Doanh thu,Giá vốn hàng hóa,Mã nhân viên bán,Chi nhánh
1/1/2024,ĐH3381365,KH-0052,P-396,10,1215000,12150000,8100000,NV190,CN HN
1/1/2024,ĐH8038262,KH-0257,P-545,5,11655000,58275000,38850000,NV164,CN DN
1/1/2024,ĐH9049637,KH-0727,P-072,7,165000,1155000,770000,NV192,CN DN
1/1/2024,ĐH1602374,KH-0716,P-530,3,28980000,86940000,57960000,NV233,CN HN
1/1/2024,ĐH8875469,KH-0210,P-204,5,42120000,210600000,140400000,NV089,CN DN
1/1/2024,ĐH8949809,KH-0542,P-435,9,14580000,131220000,87480000,NV161,CN HCM
1/1/2024,ĐH8531377,KH-0072,P-734,6,13650000,81900000,54600000,NV242,CN HCM
1/1/2024,ĐH2856395,KH-0288,P-147,2,524310000,1048620000,699080000,NV004,CN DN
1/1/2024,ĐH6697935,KH-0158,P-220,8,160875000,1287000000,858000000,NV149,CN HN
1/1/2024,ĐH2109322,KH-0385,P-703,4,1020000,4080000,2720000,NV116,CN HN
1/1/2024,ĐH9897657,KH-0286,P-061,4,510000,2040000,1360000,NV161,CN HN
1/1/2024,ĐH8009184,KH-0282,P-114,5,2130000,10650000,7100000,NV089,CN DN
1/1/2024,ĐH3109155,KH-0147,P-127,7,10065000,70455000,46970000,NV199,CN HN
1/1/2024,ĐH6600134,KH-0014,P-506,1,300000,300000,200000,NV235,CN DN
1/1/2024,ĐH8229766,KH-0649,P-574,8,270000,2160000,1440000,NV176,CN HN
1/1/2024,ĐH2634650,KH-0058,P-404,6,120000,720000,480000,NV008,CN DN
1/1/2024,ĐH4667898,KH-0601,P-070,5,4920000,24600000,16400000,NV003,CN HCM
1/1/2024,ĐH6394121,KH-0595,P-015,3,3645000,10935000,7290000,NV021,CN HN
1/1/2024,ĐH8264572,KH-0786,P-766,1,810000,810000,540000,NV041,CN DN
1/1/2024,ĐH6107309,KH-0018,P-224,6,1335000,8010000,5340000,NV217,CN DN
1/1/2024,ĐH6197583,KH-0422,P-626,10,645000,6450000,4300000,NV192,CN HN
