Mã KH,Khách hàng,Lĩnh vực kinh doanh,Loại hình DN
KH-0001,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ BÁCH KHOA,Công nghệ,TNHH
KH-0002,Công ty CP Phát triển Kỹ thuật và Thương mại Tân Đức,Khác,Cổ phần
KH-0003,NGƯỜI MUA KHÔNG LẤY HÓA ĐƠN,Khác,Khác
KH-0004,CÔNG TY TNHH PRO ACTIVE GLOBAL VIỆT NAM,Khác,TNHH
KH-0005,Công ty TNHH Công nghệ Ktech,Công nghệ,TNHH
KH-0006,NGÂN HÀNG TMCP Á CHÂU,Dịch vụ,Cổ phần
KH-0007,Công ty TNHH Tích Hợp Hệ thống CMC Sài Gòn,Công nghệ,TNHH
KH-0008,CN Cty TNHH Máy Tính Nét (TP. Hà Nội),Công nghệ,TNHH
KH-0009,CỬA HÀNG VI TÍNH PHÁT ĐẠT BÌNH DƯƠNG,Xây dựng,Hộ KD/Cửa hàng
KH-0010,CN CTY TNHH KDDI VN TẠI TP. HCM,Khác,TNHH
KH-0011,DNTN VŨ CÁNH,Khác,Khác
KH-0012,CÔNG TY TNHH NAVIC VÀ KUNSHIN VIỆT NAM,Khác,TNHH
KH-0013,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ PHÁT TRIỂN CÔNG NGHỆ SÀI GÒN,Công nghệ,Cổ phần
KH-0014,CTY TNHH SOFTWAREONE VIỆT NAM,Công nghệ,TNHH
KH-0015,CÔNG TY TNHH THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU AN NAM,Sản xuất,TNHH
KH-0016,Văn phòng thường trú Taisei Corporation tại Tp HCM,Công nghệ,Khác
KH-0017,CÔNG TY TNHH QUẢNG CÁO VÀ TRUYỀN THÔNG THẾ HỆ MỚI,Dịch vụ,TNHH
KH-0018,CÔNG TY TNHH TM DV CÔNG NGHỆ MỘT THÀNH VIÊN PHÚ AN,Công nghệ,TNHH
KH-0019,CÔNG TY TNHH DUY NGUYỄN MPS,Khác,TNHH
KH-0020,CTY TNHH TRÚC XUÂN,Khác,TNHH
KH-0021,CÔNG TY CỔ PHẦN GĂNG VIỆT,Khác,Cổ phần
KH-0023,CÔNG TY CỔ PHẦN BỆNH VIỆN MẮT QUỐC TẾ HOÀN MỸ SÀI GÒN,Khác,Cổ phần
KH-0024,Công Ty TNHH Phần Mềm Kỷ Nguyên Số,Công nghệ,TNHH
KH-0025,CÔNG TY TNHH SOLID & SOFT,Khác,TNHH
KH-0026,CÔNG TY TNHH DGS LOGISTICS,Dịch vụ,TNHH
KH-0027,CÔNG TY TNHH GIAO NHẬN KỶ OAI RỒNG CHI NA,Công nghệ,TNHH
KH-0028,CÔNG TY TNHH ALTUS GROUP (VIỆT NAM),Khác,TNHH
KH-0029,CÔNG TY TNHH SHOWA BRAIN NAVI VIỆT NAM,Công nghệ,TNHH
KH-0030,Công ty TNHH TM DV Thiết bị số Huy Phát,Sản xuất,TNHH
KH-0031,Công ty TNHH Winning Access Property Việt Nam,Khác,TNHH
KH-0032,CÔNG TY TNHH MAINETTI (VIỆT NAM),Công nghệ,TNHH
KH-0033,CÔNG TY TNHH CƠ KHÍ MINH ĐỨC,Sản xuất,TNHH
KH-0034,CÔNG TY TNHH CBRE (VIỆT NAM),Khác,TNHH
KH-0035,CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP LONG SƠN,Xây dựng,TNHH
KH-0036,CÔNG TY TNHH TIN HỌC VIỄN THÔNG VINAFORE,Công nghệ,TNHH
KH-0037,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN THIẾT BỊ TIN HỌC AN PHÚ,Công nghệ,TNHH
KH-0038,CÔNG TY TNHH EPSON VIỆT NAM,Khác,TNHH
KH-0039,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BẢN VIỆT,Dịch vụ,Cổ phần
KH-0040,CÔNG TY TNHH KỸ THUẬT VÀ CÔNG NGHỆ MINH ANH,Công nghệ,TNHH
KH-0041,Công ty Luật TNHH GRUENKORN & PARTNER,Công nghệ,TNHH
KH-0042,CÔNG TY LUẬT TNHH QUỐC TẾ VIỆT NAM (VILAF – HỒNG ĐỨC),Khác,TNHH
KH-0043,CÔNG TY  TNHH  TM DV  TRANG THIẾT BỊ Y TẾ TPT MIỀN NAM,Dịch vụ,TNHH
KH-0044,CÔNG TY TRÁCH NHIỆM HỮU HẠN ORGANO VIỆT NAM,Khác,TNHH
KH-0045,CÔNG TY TRÁCH NHIỆM HỮU HẠN  NTT DATA VIỆT NAM,Khác,TNHH
KH-0046,CÔNG TY CỔ PHẦN XÂY DỰNG THƯƠNG MẠI VÀ DỊCH VỤ ACT,Dịch vụ,Cổ phần
KH-0047,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TIN HỌC VIỄN THÔNG THỊNH PHÁT,Công nghệ,TNHH
KH-0048,CÔNG TY TNHH TƯ VẤN THIẾT KẾ TUỆ QUANG PT,Dịch vụ,TNHH
KH-0049,CÔNG TY TNHH WINS SOFT,Khác,TNHH
KH-0050,CÔNG TY TNHH AMOREPACIFIC VIỆT NAM,Khác,TNHH
KH-0051,CÔNG TY TNHH GIẢI PHÁP TÍCH HỢP HỆ THỐNG H.N.T.C,Công nghệ,TNHH
KH-0052,CÔNG TY CỔ PHẦN SAO VIỆT,Khác,Cổ phần
KH-0053,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ IN CHUYỂN KTK,Dịch vụ,TNHH
KH-0054,Công Ty TNHH Thương Mại Dịch Vụ ICT Sài Gòn,Dịch vụ,TNHH
KH-0055,Công ty TNHH MTV Bluzen Vina,Khác,TNHH
KH-0056,Chi nhánh tại TP.HCM Công ty TNHH Hệ thống Thông tin Ngân hàng Tài chính FPT (TP.HN),Công nghệ,TNHH
KH-0057,CÔNG TY TRÁCH NHIỆM HỮU HẠN FM SUPPLY CHAIN VIỆT NAM,Công nghệ,TNHH
KH-0058,CÔNG TY TNHH MONACO HEALTHCARE,Công nghệ,TNHH
KH-0059,Công ty TNHH PMAS,Khác,TNHH
KH-0060,Công ty TNHH MTV Thương mại và Dịch vụ ELITE,Công nghệ,TNHH
KH-0061,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VI TÍNH SAO MAI,Công nghệ,TNHH
KH-0062,Công Ty TNHH GreyStones Data Systems Việt Nam,Khác,TNHH
KH-0063,Công ty TNHH MTV CK KT Trí Trung,Khác,TNHH
KH-0064,LIÊN DANH NK-JIC-PBJ-JTC-TEC-TEDI SOUTH - TRICC,Khác,Cổ phần
KH-0065,CÔNG TY TNHH BONFIGLIOLI VIỆT NAM,Khác,TNHH
KH-0066,CÔNG TY TNHH CÔNG NGHỆ G7,Công nghệ,TNHH
KH-0067,Công ty TNHH KAHOKU LIGHTING SOLUTIONS Việt Nam,Khác,TNHH
KH-0068,CÔNG TY TNHH GROOVE TECHNOLOGY VIETNAM,Công nghệ,TNHH
KH-0069,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM THIÊN Á,Khác,Cổ phần
KH-0070,CÔNG TY TNHH THƯƠNG MẠI NGỌC THIÊN BẢO,Khác,TNHH
KH-0071,CÔNG TY TNHH SANCOH VIỆT NAM,Khác,TNHH
KH-0072,Chi nhánh tại TP.Hồ Chí Minh Công ty TNHH Hệ thống thông tin FPT (TP. Hà Nội),Công nghệ,TNHH
KH-0073,Công ty cổ phần Công nghệ trực tuyến Tầm Nhìn Việt,Công nghệ,Cổ phần
KH-0074,Công ty TNHH Khu dân cư LeadGroup,Khác,TNHH
KH-0075,Công ty TNHH METKRAFT,Khác,TNHH
KH-0076,CÔNG TY TNHH MITRA ADIPERKASA VIỆT NAM,Công nghệ,TNHH
KH-0077,CÔNG TY TNHH DÂY CÁP ĐIỆN TAI SIN (VN),Công nghệ,TNHH
KH-0078,Công ty TNHH Dịch vụ Thắng Lợi,Dịch vụ,TNHH
KH-0079,CÔNG TY TNHH AYTEC VIỆT NAM,Khác,TNHH
KH-0080,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NOZV VIỆT NAM,Dịch vụ,TNHH
KH-0081,CÔNG TY TNHH  SYSONE,Khác,TNHH
KH-0082,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ NÉT SỐ,Công nghệ,Cổ phần
KH-0083,Công ty TNHH YKK Việt Nam,Khác,TNHH
KH-0084,CÔNG TY TNHH TỔ HỢP NHẤT VIỆT,Khác,TNHH
KH-0085,CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT THỨC ĂN CHĂN NUÔI BÌNH MINH,Sản xuất,TNHH
KH-0086,CÔNG TY TNHH XÂY DỰNG VÀ KINH DOANH NHÀ ĐIỀN PHÚC THÀNH,Xây dựng,TNHH
KH-0087,CÔNG TY TNHH THIẾT BỊ ĐO LƯỜNG VÀ ĐIỀU KHIỂN ĐẠI VIỆT,Sản xuất,TNHH
KH-0088,Công ty TNHH Công Nghệ Thông Tin Chân Trời Sáng,Công nghệ,TNHH
KH-0089,Công ty TNHH MTV K-Tech,Công nghệ,TNHH
KH-0090,CÔNG TY TNHH YOUYOUWINGS,Khác,TNHH
KH-0091,CÔNG TY CP CÔNG NGHỆ TIÊN PHONG,Công nghệ,Cổ phần
KH-0092,Công ty TNHH thương mại và dịch vụ Song Linh,Dịch vụ,TNHH
