Mã Sản phẩm,Sản phẩm,Nhóm sản phẩm, Nhãn , Giá vốn ,Phân loại sản phầm
P-001,Phần mềm TeamViewer 12 Premium,Phần mềm, Khác ,  17.950.000 ,Khác
P-002,Phần mềm TeamViewer 12 Corporate,Phần mềm, Khác ,  27.460.000 ,Khác
P-003,Phần mềm Win Home 10 64Bit Eng Intl 1pk DSP OEI DVD,Phần mềm, Khác ,  1.470.000 ,Khác
P-004,Phần mềm Teamviewer 12 business,Phần mềm, Phần mềm văn phòng ,  8.240.000 ,Phần mềm văn phòng
P-005,Phần mềm Autodesk AutoCAD LT Commercial Singleuser Annual Subscription Renewal with Advanced Support (057I1-009704-T385),Phần mềm, Phần mềm văn phòng ,  3.700.000 ,Phần mềm văn phòng
P-006,Phần mềm Autodesk AutoCAD LT 2018 Commercial New Single-user Additional Seat Annual Subscription PROMO - 12 months -,Phần mềm, Phần mềm văn phòng ,  4.580.000 ,Phần mềm văn phòng
P-007,Phần mềm Illustrator CC for teams ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription Renewal 12 months,Phần mềm, Phần mềm văn phòng ,  5.400.000 ,Phần mềm văn phòng
P-008,Phần mềm Photoshop CC for teams  ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription Renewal 12 months,Phần mềm, Phần mềm văn phòng ,  5.870.000 ,Phần mềm văn phòng
P-009,Phần mềm Windows Svr Std 2016 64Bit English 1PK DSP OEI DVD 16Core_P73-07113,Phần mềm, Phần mềm server ,  9.900.000 ,Phần mềm server
P-010,Phần mềm ISO 27001 Toolkit,Phần mềm, Khác ,  14.810.000 ,Khác
P-011,Phần mềm ISO 22301 Toolkit,Phần mềm, Khác ,  10.590.000 ,Khác
P-012,Phần Mềm Photoshop CC for team ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription New- 12 months,Phần mềm, Phần mềm văn phòng ,  6.100.000 ,Phần mềm văn phòng
P-013,Phần mềm Activesync Renewal Expired 50 user,Phần mềm, Khác ,  2.070.000 ,Khác
P-014,Phần mềm Adobe Audition CC for team ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription New 12 months,Phần mềm, Phần mềm văn phòng ,  5.330.000 ,Phần mềm văn phòng
P-015,Phần mềm WinPro 10 SNGL OLP NL Legalization GetGenuine,Phần mềm, Khác ,  2.430.000 ,Khác
