Mã KH,Khách hàng,Nhãn
KH-0001,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN CÔNG NGHỆ BÁCH KHOA,Công nghệ
KH-0002,Công ty CP Phát triển Kỹ thuật và Thương mại Tân Đức,Khác
KH-0003,NGƯỜI MUA KHÔNG LẤY HÓA ĐƠN,Khác
KH-0004,CÔNG TY TNHH PRO ACTIVE GLOBAL VIỆT NAM,Khác
KH-0005,Công ty TNHH Công nghệ Ktech,Công nghệ
KH-0006,NGÂN HÀNG TMCP Á CHÂU,Dịch vụ
KH-0007,Công ty TNHH Tích Hợp Hệ thống CMC Sài Gòn,Công nghệ
KH-0008,CN Cty TNHH Máy Tính Nét (TP. Hà Nội),Công nghệ
KH-0009,CỬA HÀNG VI TÍNH PHÁT ĐẠT BÌNH DƯƠNG,Xây dựng
KH-0010,CN CTY TNHH KDDI VN TẠI TP. HCM,Khác
KH-0011,DNTN VŨ CÁNH,Khác
KH-0012,CÔNG TY TNHH NAVIC VÀ KUNSHIN VIỆT NAM,Khác
KH-0013,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ PHÁT TRIỂN CÔNG NGHỆ SÀI GÒN,Công nghệ
KH-0014,CTY TNHH SOFTWAREONE VIỆT NAM,Công nghệ
KH-0015,CÔNG TY TNHH THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU AN NAM,Sản xuất
KH-0016,Văn phòng thường trú Taisei Corporation tại Tp HCM,Công nghệ
KH-0017,CÔNG TY TNHH QUẢNG CÁO VÀ TRUYỀN THÔNG THẾ HỆ MỚI,Dịch vụ
KH-0018,CÔNG TY TNHH TM DV CÔNG NGHỆ MỘT THÀNH VIÊN PHÚ AN,Công nghệ
KH-0019,CÔNG TY TNHH DUY NGUYỄN MPS,Khác
KH-0020,CTY TNHH TRÚC XUÂN,Khác
KH-0021,CÔNG TY CỔ PHẦN GĂNG VIỆT,Khác
KH-0023,CÔNG TY CỔ PHẦN BỆNH VIỆN MẮT QUỐC TẾ HOÀN MỸ SÀI GÒN,Khác
KH-0024,Công Ty TNHH Phần Mềm Kỷ Nguyên Số,Công nghệ
KH-0025,CÔNG TY TNHH SOLID & SOFT,Khác
KH-0026,CÔNG TY TNHH DGS LOGISTICS,Dịch vụ
KH-0027,CÔNG TY TNHH GIAO NHẬN KỶ OAI RỒNG CHI NA,Công nghệ
KH-0028,CÔNG TY TNHH ALTUS GROUP (VIỆT NAM),Khác
KH-0029,CÔNG TY TNHH SHOWA BRAIN NAVI VIỆT NAM,Công nghệ
KH-0030,Công ty TNHH TM DV Thiết bị số Huy Phát,Sản xuất
KH-0031,Công ty TNHH Winning Access Property Việt Nam,Khác
KH-0032,CÔNG TY TNHH MAINETTI (VIỆT NAM),Công nghệ
KH-0033,CÔNG TY TNHH CƠ KHÍ MINH ĐỨC,Sản xuất
KH-0034,CÔNG TY TNHH CBRE (VIỆT NAM),Khác
KH-0035,CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP LONG SƠN,Xây dựng
KH-0036,CÔNG TY TNHH TIN HỌC VIỄN THÔNG VINAFORE,Công nghệ
KH-0037,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN THIẾT BỊ TIN HỌC AN PHÚ,Công nghệ
KH-0038,CÔNG TY TNHH EPSON VIỆT NAM,Khác
KH-0039,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BẢN VIỆT,Dịch vụ
KH-0040,CÔNG TY TNHH KỸ THUẬT VÀ CÔNG NGHỆ MINH ANH,Công nghệ
KH-0041,Công ty Luật TNHH GRUENKORN & PARTNER,Công nghệ
KH-0042,CÔNG TY LUẬT TNHH QUỐC TẾ VIỆT NAM (VILAF – HỒNG ĐỨC),Khác
KH-0043,CÔNG TY  TNHH  TM DV  TRANG THIẾT BỊ Y TẾ TPT MIỀN NAM,Dịch vụ
KH-0044,CÔNG TY TRÁCH NHIỆM HỮU HẠN ORGANO VIỆT NAM,Khác
KH-0045,CÔNG TY TRÁCH NHIỆM HỮU HẠN  NTT DATA VIỆT NAM,Khác
KH-0046,CÔNG TY CỔ PHẦN XÂY DỰNG THƯƠNG MẠI VÀ DỊCH VỤ ACT,Dịch vụ
KH-0047,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TIN HỌC VIỄN THÔNG THỊNH PHÁT,Công nghệ
KH-0048,CÔNG TY TNHH TƯ VẤN THIẾT KẾ TUỆ QUANG PT,Dịch vụ
KH-0049,CÔNG TY TNHH WINS SOFT,Khác
KH-0050,CÔNG TY TNHH AMOREPACIFIC VIỆT NAM,Khác
KH-0051,CÔNG TY TNHH GIẢI PHÁP TÍCH HỢP HỆ THỐNG H.N.T.C,Công nghệ
KH-0052,CÔNG TY CỔ PHẦN SAO VIỆT,Khác
KH-0053,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ IN CHUYỂN KTK,Dịch vụ
KH-0054,Công Ty TNHH Thương Mại Dịch Vụ ICT Sài Gòn,Dịch vụ
KH-0055,Công ty TNHH MTV Bluzen Vina,Khác
KH-0056,Chi nhánh tại TP.HCM Công ty TNHH Hệ thống Thông tin Ngân hàng Tài chính FPT (TP.HN),Công nghệ
KH-0057,CÔNG TY TRÁCH NHIỆM HỮU HẠN FM SUPPLY CHAIN VIỆT NAM,Công nghệ
KH-0058,CÔNG TY TNHH MONACO HEALTHCARE,Công nghệ
KH-0059,Công ty TNHH PMAS,Khác
KH-0060,Công ty TNHH MTV Thương mại và Dịch vụ ELITE,Công nghệ
KH-0061,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VI TÍNH SAO MAI,Công nghệ
KH-0062,Công Ty TNHH GreyStones Data Systems Việt Nam,Khác
KH-0063,Công ty TNHH MTV CK KT Trí Trung,Khác
KH-0064,LIÊN DANH NK-JIC-PBJ-JTC-TEC-TEDI SOUTH - TRICC,Khác
KH-0065,CÔNG TY TNHH BONFIGLIOLI VIỆT NAM,Khác
KH-0066,CÔNG TY TNHH CÔNG NGHỆ G7,Công nghệ
KH-0067,Công ty TNHH KAHOKU LIGHTING SOLUTIONS Việt Nam,Khác
KH-0068,CÔNG TY TNHH GROOVE TECHNOLOGY VIETNAM,Công nghệ
KH-0069,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM THIÊN Á,Khác
KH-0070,CÔNG TY TNHH THƯƠNG MẠI NGỌC THIÊN BẢO,Khác
KH-0071,CÔNG TY TNHH SANCOH VIỆT NAM,Khác
KH-0072,Chi nhánh tại TP.Hồ Chí Minh Công ty TNHH Hệ thống thông tin FPT (TP. Hà Nội),Công nghệ
KH-0073,Công ty cổ phần Công nghệ trực tuyến Tầm Nhìn Việt,Công nghệ
KH-0074,Công ty TNHH Khu dân cư LeadGroup,Khác
KH-0075,Công ty TNHH METKRAFT,Khác
KH-0076,CÔNG TY TNHH MITRA ADIPERKASA VIỆT NAM,Công nghệ
KH-0077,CÔNG TY TNHH DÂY CÁP ĐIỆN TAI SIN (VN),Công nghệ
KH-0078,Công ty TNHH Dịch vụ Thắng Lợi,Dịch vụ
KH-0079,CÔNG TY TNHH AYTEC VIỆT NAM,Khác
KH-0080,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NOZV VIỆT NAM,Dịch vụ
KH-0081,CÔNG TY TNHH  SYSONE,Khác
KH-0082,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ NÉT SỐ,Công nghệ
KH-0083,Công ty TNHH YKK Việt Nam,Khác
KH-0084,CÔNG TY TNHH TỔ HỢP NHẤT VIỆT,Khác
KH-0085,CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT THỨC ĂN CHĂN NUÔI BÌNH MINH,Sản xuất
KH-0086,CÔNG TY TNHH XÂY DỰNG VÀ KINH DOANH NHÀ ĐIỀN PHÚC THÀNH,Xây dựng
KH-0087,CÔNG TY TNHH THIẾT BỊ ĐO LƯỜNG VÀ ĐIỀU KHIỂN ĐẠI VIỆT,Sản xuất
KH-0088,Công ty TNHH Công Nghệ Thông Tin Chân Trời Sáng,Công nghệ
KH-0089,Công ty TNHH MTV K-Tech,Công nghệ
KH-0090,CÔNG TY TNHH YOUYOUWINGS,Khác
KH-0091,CÔNG TY CP CÔNG NGHỆ TIÊN PHONG,Công nghệ
KH-0092,Công ty TNHH thương mại và dịch vụ Song Linh,Dịch vụ
KH-0093,CTY TNHH CÔNG NGHỆ VÀ PHẦN MỀM NAM Á,Công nghệ
KH-0094,Công ty TNHH Shiseido Việt Nam,Khác
KH-0095,CÔNG TY CP HỆ THỐNG CÔNG NGHỆ ÁNH LAM,Công nghệ
KH-0096,CHI NHÁNH CÔNG TY TNHH MTV - TỔNG CÔNG TY PHÁT ĐIỆN 3 - CÔNG TY DỊCH VỤ SỬA CHỮA CÁC NHÀ MÁY ĐIỆN,Dịch vụ
KH-0097,Công ty TNHH Đặc Rạng Việt Nam.,Khác
KH-0098,Công ty TNHH Schenker Việt Nam,Khác
KH-0099,CÔNG TY TNHH YKK AP FACADE VIỆT NAM,Khác
KH-0100,CÔNG TY CỔ PHẦN KIẾN TRÚC VÀ THƯƠNG MẠI NSP VIỆT NAM,Xây dựng
KH-0101,Công Ty TNHH Fairfield Việt Nam,Công nghệ
KH-0102,CÔNG TY CỔ PHẦN THẾ GIỚI SỐ,Khác
KH-0103,Công ty CP Phát triển Điện lực Thăng Long,Năng lượng
KH-0104,CÔNG TY TNHH VINA-CPK,Khác
KH-0105,Công Ty TNHH Jang Won Tech Vina,Công nghệ
KH-0106,Công Ty TNHH Thương Mại Dịch Vụ Viết Quang,Dịch vụ
KH-0107,CÔNG TY TNHH TRẦN VIỆT PHÁT,Khác
KH-0108,CÔNG TY CỔ PHẦN TẬP ĐOÀN TRUNG NGUYÊN,Khác
KH-0109,CÔNG TY TNHH MỘT THÀNH VIÊN HIỆP THỊNH,Khác
KH-0110,CÔNG TY CỔ PHẦN CÔNG NGHỆ ĐẠI TRẦN GIA,Công nghệ
KH-0111,Công ty Cổ phần Tiến Bộ Quốc Tế,Khác
KH-0112,Công ty TNHH Thương mại Kỹ thuật Tin học Anh Ngọc,Công nghệ
KH-0113,CÔNG TY TNHH TIẾP VẬN KINTETSU VIỆT NAM,Dịch vụ
KH-0114,CÔNG TY TNHH MỘT THÀNH VIÊN KHÁCH SẠN SUNWAY HÀ NỘI,Dịch vụ
KH-0115,Công ty cổ phần Ipos.vn,Khác
KH-0116,Văn phòng Đại diện công ty Taisei tại Hà Nội,Công nghệ
KH-0117,Công ty Cổ phần Đàug Tư Công nghệ STI,Công nghệ
KH-0118,CÔNG TY CỔ PHẦN PIN HÀ NỘI,Năng lượng
KH-0119,Công ty TNHH Sinh Nam,Khác
KH-0120,Công ty TNHH thương mại kỹ thuật Hải Quang,Khác
KH-0121,Công ty TNHH IKO THOMPSON VIỆT NAM,Khác
KH-0122,Công ty TNHH TotalGaz Việt Nam,Khác
KH-0123,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ HOÀN HẢO,Công nghệ
KH-0124,Công Ty Cổ Phần Điện Ii,Năng lượng
KH-0125,Công Ty Cổ Phần Thương Mại Và Phát Triển Kỹ Thuật Cao Vihoth,Khác
KH-0126,Công ty TNHH Dịch Vụ Tin Học Rồng Việt,Công nghệ
KH-0127,Công ty cổ phần phân phối và bán lẻ BT,Năng lượng
KH-0128,Công ty Công nghệ thông tin Điện lực miền Bắc.,Công nghệ
KH-0129,Công Ty TNHH Cpro Việt Nam,Khác
KH-0130,Công ty TNHH Deloitte Việt Nam,Công nghệ
KH-0131,CÔNG TY CỔ PHẦN SONGWOL VINA,Khác
KH-0132,Bảo hiểm xã hội tỉnh Hà Giang,Dịch vụ
KH-0133,CÔNG TY CỔ PHẦN KIẾN TRÚC ĐỒNG NHÂN,Xây dựng
KH-0134,Công ty TNHH Nông Lâm Sản Tiên Phước,Khác
KH-0135,Công ty TNHH EAGLE ONE ENTERPRISE,Khác
KH-0136,Công ty cổ phần SRP,Khác
KH-0137,CÔNG TY TNHH PHÂN PHỐI SYNNEX FPT,Năng lượng
KH-0138,Công ty TNHH giải pháp công trường xây dựng Doosan Việt Nam,Dịch vụ
KH-0139,Công Ty TNHH Xây Dựng Sandstone,Xây dựng
KH-0140,CÔNG TY TNHH DỊCH VỤ TIN HỌC FPT,Công nghệ
KH-0141,CÔNG TY CỔ PHẦN TRUNG VIỆT HƯNG,Khác
KH-0142,Công ty cổ phần Act Brain Việt Nam,Công nghệ
KH-0143,CÔNG TY CP VI TÍNH MEKONG,Khác
